Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:11 |       13.90% |      14.3436 |          0.0010 |
|       1 |           2 |       00:00:35 |       10.49% |      14.6103 |          0.0010 |
|       1 |           4 |       00:01:03 |        4.18% |      13.6195 |          0.0010 |
|       1 |           6 |       00:01:29 |       17.61% |      12.9289 |          0.0010 |
|       1 |           8 |       00:02:06 |       20.34% |      11.5059 |          0.0010 |
|       1 |          10 |       00:02:42 |       25.68% |      12.7495 |          0.0010 |
|       1 |          12 |       00:03:20 |        0.97% |      13.6600 |          0.0010 |
|       1 |          14 |       00:03:58 |       19.96% |       8.8428 |          0.0010 |
|       1 |          16 |       00:04:35 |       24.96% |       6.7860 |          0.0010 |
|       1 |          18 |       00:05:09 |       41.12% |       5.2650 |          0.0010 |
|       1 |          20 |       00:05:44 |       36.60% |       4.2529 |          0.0010 |
|       1 |          22 |       00:06:22 |       38.15% |       4.9617 |          0.0010 |
|       1 |          24 |       00:06:58 |       35.32% |       4.0310 |          0.0010 |
|       1 |          26 |       00:07:27 |       36.59% |       3.8024 |          0.0010 |
|       1 |          28 |       00:07:58 |       35.38% |       3.3663 |          0.0010 |
|       1 |          30 |       00:08:30 |       38.01% |       2.7972 |          0.0010 |
|       1 |          32 |       00:08:59 |       32.71% |       3.5372 |          0.0010 |
|       1 |          34 |       00:09:28 |       39.82% |       2.9735 |          0.0010 |
|       1 |          36 |       00:10:00 |       35.28% |       2.4823 |          0.0010 |
|       1 |          38 |       00:10:30 |       31.56% |       3.1557 |          0.0010 |
|       1 |          40 |       00:11:04 |       31.33% |       2.4141 |          0.0010 |
|       1 |          42 |       00:11:39 |       47.41% |       2.1016 |          0.0010 |
|       1 |          44 |       00:12:13 |       35.53% |       2.3636 |          0.0010 |
|       1 |          46 |       00:12:43 |       51.01% |       2.1992 |          0.0010 |
|       1 |          48 |       00:13:09 |       45.51% |       2.0847 |          0.0010 |
|       1 |          50 |       00:13:37 |       45.22% |       2.0768 |          0.0010 |
|       1 |          52 |       00:14:02 |       38.73% |       2.0845 |          0.0010 |
|       1 |          54 |       00:14:29 |       44.02% |       2.3014 |          0.0010 |
|       1 |          56 |       00:14:55 |       41.61% |       1.8851 |          0.0010 |
|       1 |          58 |       00:15:20 |       36.88% |       2.1250 |          0.0010 |
|       1 |          60 |       00:15:47 |       36.93% |       2.0189 |          0.0010 |
|       1 |          62 |       00:16:11 |       36.40% |       1.9081 |          0.0010 |
|       1 |          64 |       00:16:37 |       41.13% |       1.8050 |          0.0010 |
|       1 |          66 |       00:17:06 |       44.11% |       1.8195 |          0.0010 |
|       1 |          68 |       00:17:36 |       44.26% |       1.7222 |          0.0010 |
|       1 |          70 |       00:18:05 |       43.45% |       1.6545 |          0.0010 |
|       1 |          72 |       00:18:31 |       43.83% |       1.6878 |          0.0010 |
|       1 |          74 |       00:18:55 |       38.00% |       2.0234 |          0.0010 |
|       1 |          76 |       00:19:20 |       40.66% |       1.9149 |          0.0010 |
|       1 |          78 |       00:19:47 |       39.38% |       1.9067 |          0.0010 |
|       1 |          80 |       00:20:14 |       46.45% |       1.8283 |          0.0010 |
|       1 |          82 |       00:20:41 |       37.90% |       1.8302 |          0.0010 |
|       1 |          84 |       00:21:10 |       51.55% |       1.9024 |          0.0010 |
|       1 |          86 |       00:21:37 |       52.46% |       1.9674 |          0.0010 |
|       1 |          88 |       00:22:02 |       40.84% |       1.9876 |          0.0010 |
|       1 |          90 |       00:22:27 |       47.61% |       1.7643 |          0.0010 |
|       1 |          92 |       00:22:52 |       45.63% |       1.8930 |          0.0010 |
|       1 |          94 |       00:23:17 |       58.36% |       1.6698 |          0.0010 |
|       1 |          96 |       00:23:42 |       37.98% |       1.7109 |          0.0010 |
|       1 |          98 |       00:24:06 |       43.03% |       1.8297 |          0.0010 |
|       1 |         100 |       00:24:31 |       51.19% |       1.6727 |          0.0010 |
|       1 |         102 |       00:25:04 |       52.90% |       1.8141 |          0.0010 |
|       1 |         104 |       00:25:36 |       42.03% |       1.6993 |          0.0010 |
|       1 |         105 |       00:25:51 |       50.31% |       1.7132 |          0.0010 |
|========================================================================================|
Training finished: Max epochs completed.
