Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:15 |       17.39% |      14.1266 |          0.0010 |
|       1 |           2 |       00:00:41 |        6.43% |      13.9804 |          0.0010 |
|       1 |           4 |       00:01:20 |        1.96% |      13.8098 |          0.0010 |
|       1 |           6 |       00:01:56 |        1.49% |      14.1094 |          0.0010 |
|       1 |           8 |       00:02:31 |       16.92% |      12.3561 |          0.0010 |
|       1 |          10 |       00:03:10 |        9.86% |      11.8559 |          0.0010 |
|       1 |          12 |       00:03:42 |       11.26% |      10.5887 |          0.0010 |
|       1 |          14 |       00:04:14 |       20.15% |       8.5371 |          0.0010 |
|       1 |          16 |       00:04:43 |       29.34% |       6.7772 |          0.0010 |
|       1 |          18 |       00:05:13 |       16.75% |       7.5459 |          0.0010 |
|       1 |          20 |       00:05:40 |       24.28% |       6.2630 |          0.0010 |
|       1 |          22 |       00:06:07 |       40.24% |       5.6771 |          0.0010 |
|       1 |          24 |       00:06:39 |       26.91% |       4.3061 |          0.0010 |
|       1 |          26 |       00:07:05 |       16.22% |       4.1484 |          0.0010 |
|       1 |          28 |       00:07:36 |       22.42% |       3.3708 |          0.0010 |
|       1 |          30 |       00:08:08 |       26.51% |       2.9294 |          0.0010 |
|       1 |          32 |       00:08:44 |       44.62% |       2.7138 |          0.0010 |
|       1 |          34 |       00:09:14 |       36.90% |       2.6703 |          0.0010 |
|       1 |          36 |       00:09:43 |       45.51% |       2.4498 |          0.0010 |
|       1 |          38 |       00:10:11 |       42.27% |       2.2015 |          0.0010 |
|       1 |          40 |       00:10:38 |       39.85% |       2.4868 |          0.0010 |
|       1 |          42 |       00:11:05 |       43.66% |       2.0321 |          0.0010 |
|       1 |          44 |       00:11:32 |       40.85% |       2.1985 |          0.0010 |
|       1 |          46 |       00:11:58 |       49.44% |       2.0370 |          0.0010 |
|       1 |          48 |       00:12:25 |       47.20% |       2.2564 |          0.0010 |
|       1 |          50 |       00:12:55 |       34.16% |       2.3079 |          0.0010 |
|       1 |          52 |       00:13:23 |       46.82% |       1.9785 |          0.0010 |
|       1 |          54 |       00:13:49 |       38.60% |       2.0065 |          0.0010 |
|       1 |          56 |       00:14:16 |       51.27% |       2.0862 |          0.0010 |
|       1 |          58 |       00:14:41 |       35.41% |       2.4424 |          0.0010 |
|       1 |          60 |       00:15:08 |       42.00% |       1.8467 |          0.0010 |
|       1 |          62 |       00:15:36 |       37.47% |       2.1241 |          0.0010 |
|       1 |          64 |       00:16:03 |       50.03% |       2.0470 |          0.0010 |
|       1 |          66 |       00:16:28 |       53.39% |       1.9610 |          0.0010 |
|       1 |          68 |       00:16:59 |       48.26% |       1.7293 |          0.0010 |
|       1 |          70 |       00:17:40 |       40.68% |       2.0478 |          0.0010 |
|       1 |          72 |       00:18:20 |       53.72% |       1.9217 |          0.0010 |
|       1 |          74 |       00:18:54 |       50.91% |       1.9555 |          0.0010 |
|       1 |          76 |       00:19:37 |       50.15% |       1.6739 |          0.0010 |
|       1 |          78 |       00:20:10 |       42.63% |       1.9599 |          0.0010 |
|       1 |          80 |       00:20:46 |       56.67% |       1.8062 |          0.0010 |
|       1 |          82 |       00:21:19 |       45.40% |       1.9226 |          0.0010 |
|       1 |          84 |       00:21:53 |       46.10% |       2.1585 |          0.0010 |
|       1 |          86 |       00:22:34 |       42.98% |       1.8498 |          0.0010 |
|       1 |          88 |       00:23:05 |       36.96% |       1.8868 |          0.0010 |
|       1 |          90 |       00:23:38 |       53.24% |       1.7982 |          0.0010 |
|       1 |          92 |       00:24:13 |       57.33% |       2.0853 |          0.0010 |
|       1 |          94 |       00:24:52 |       44.58% |       2.0035 |          0.0010 |
|       1 |          96 |       00:25:27 |       47.50% |       2.1096 |          0.0010 |
|       1 |          98 |       00:26:06 |       44.17% |       2.0226 |          0.0010 |
|       1 |         100 |       00:26:41 |       44.83% |       1.6052 |          0.0010 |
|       1 |         102 |       00:27:08 |       46.47% |       1.8718 |          0.0010 |
|       1 |         104 |       00:27:43 |       56.43% |       1.7939 |          0.0010 |
|       1 |         105 |       00:28:01 |       59.82% |       1.8218 |          0.0010 |
|========================================================================================|
Training finished: Max epochs completed.
